Nome,Precos
['Kit 4 Cervejas EISENBAHN Pilsen Long Neck Garrafa 355ml + Queijo Tipo Brie FAIXA AZUL 300g'],"['R$42,60']"
['Cerveja EISENBAHN Pilsen Long Neck Garrafa 355ml - Caixa com 12 Unidades'],"['R$51,48']"
['Cerveja Therezópolis Or Blanc Witbier Garrafa 500ml '],"['R$00,00']"
['Cerveja FABRICA 1959 IPA Garrafa 500ml'],"['R$00,00']"
['Cerveja CONTI Bier Lata 269ml'],"['R$00,00']"
['Cerveja Draft Chopp de Vinho Ice 300ml'],"['R$00,00']"
['Cerveja Tripel Hop Citra Duvel Garrafa 330ml'],"['R$00,00']"
['Cerveja TUPINIQUIM Polimango Ipa Lata 350ml'],"['R$00,00']"
['Kit Cerveja Stella 269ml C/8 Latas + 1 Cálice 250ml'],"['R$00,00']"
['Cerveja ESTRELLA GALICIA sem Álcool Garrafa 250ml'],"['R$00,00']"
['Cerveja EISENBAHN Session Ipa Garrafa Long Neck 355ml'],"['R$00,00']"
['Cerveja Espanhola ESTRELLA GALICIA Lata 269ml'],"['R$00,00']"
['Cerveja Fruit Kriek Brut Liefmans Garrafa 330ml'],"['R$00,00']"
['Cerveja Serramalte Puro Malte 350ml Lata'],"['R$00,00']"
"['Kit 12 Cervejas PATAGONIA WEISSE Garrafa 740ML + Contra Filé Maturatta FRIBOI Resfriado Pedaço 1,4kg']","['R$270,35']"
['Kit 4 Cervejas Brasil EISENBAHN Weiss Garrafa 355ml + Queijo Tipo Brie FAIXA AZUL 300g'],"['R$46,60']"
['Kit 4 Cervejas Brasil EISENBAHN Weiss Garrafa 355ml + Mussarela de Búfala Bola Média QUALITÁ 250g'],"['R$44,65']"
['Kit de Cervejas EISENBAHN Diversas - 12 Unidades'],"['R$53,88']"
['Kit de Cerveja Eisenbahn Pilsen e Weiss harmonizados com Mix de Nuts e Queijo Brie'],"['R$00,00']"
['Cerveja ITAIPAVA Lata 350ml'],"['R$00,00']"
['Kit 4 Cervejas Becks 330 Ml Long Neck + 1 Pizza Artesanal Margherita Seara Gourmet 450g'],"['R$45,15']"
['Kit Stella Artois + Doritos Queijo Nacho'],"['R$00,00']"
['Kit 6 Cerveja STELLA ARTOIS Lata 269ml & 1 Ovinhos de Amendoim Elma Chips Pacote 170g'],"['R$27,33']"
['Kit Cervejas - Cervejaria PATAGÔNIA - 6 Unidades'],"['R$00,00']"
['Kit Cerveja HOEGAARDEN Witbier Garrafa 330ml Importada com 4 unidades'],"['R$23,96']"
['Cerveja Americana BROOKLYN IPA Garrafa 355ml'],"['R$00,00']"
['Cerveja American Ipa Lübeck Garrafa 500ml'],"['R$00,00']"
